Year,Area,Season,Production,Extent,Air Temp(Mean),Relative Humidity-D,Relative Humidity-N,Rainfall
2018,Mannar,Maha,89,9,27.45,77.75,86.25,109.13
2018,Vavuniya,Maha,84,7,26.65,79,,127.25
2018,Kururnegala,Maha,97,19,26.92,71.75,,161.2
2018,Anuradhapura,Maha,253,17,27.5,73.75,93.25,184.6
2018,Polonnaruwa,Maha,185,12,26.85,74.75,,166.65
2018,Badulla,Maha,7,1,22.45,77.75,,239.63
2018,Moneragala,Maha,187,27,26.38,69.75,,210.45
2018,Jaffna,Yala,82,10,29.9,74,,38.03
2018,Mannar,Yala,193,19,28.7,78.25,86.25,20.2
2018,Vavuniya,Yala,147,10,29.45,70,,76.65
2018,Kururnegala,Yala,33,2,27.95,73.5,,231.85
2018,Anuradhapura,Yala,9706,547,28.8,69,88,63.25
2018,Polonnaruwa,Yala,1316,78,30.18,58.75,,61
2019,Hambantota,Maha,14,1,27.75,76,88.25,85.55
2019,Jaffna,Maha,91,6,27.48,81,,200.9
2019,Mannar,Maha,79,8,27.25,80.5,88.25,168.53
2019,Vavuniya,Maha,69,7,26.4,78.75,,210.08
2019,Kururnegala,Maha,60,1,26.9,69.75,,460.5
2019,Anuradhapura,Maha,46,5,26.2,76.75,94,210.95
2019,Polonnaruwa,Maha,104,10,26.58,77.5,,221.95
2019,Puttalam,Maha,3,2,26.8,77.75,95.75,150.23
2019,Jaffna,Yala,17,5,30.5,74.25,,48.53
2019,Mannar,Yala,116,6,30.03,73.75,81.75,0.15
2019,Vavuniya,Yala,79,5,30.88,62.5,,40.3
2019,Kururnegala,Yala,20,1,28.78,69.5,,97.65
2019,Anuradhapura,Yala,5153,311,30,63.5,87.25,25.48
2019,Polonnaruwa,Yala,918,62,31.33,52.5,,31.3
2019,Badulla,Yala,30,2,25.43,63.75,,71.08
2019,Ratnapura,Yala,1,,27.93,78.5,94.25,340.65
2020,Hambantota,Maha,5,1,27.53,79.5,91,207.95
2020,Jaffna,Maha,154,15,26.9,79.5,,246.68
2020,Mannar,Maha,20,3,27.63,77,87.5,204.48
2020,Vavuniya,Maha,100,9,26.78,79.25,,241.95
2020,Kururnegala,Maha,60,2,27.28,70.25,,245.08
2020,Anuradhapura,Maha,120,11,27.08,76.25,94.25,227.7
2020,Polonnaruwa,Maha,3,1,26.93,78.25,,333.4
2020,Ratnapura,Maha,11,2,27.43,79,96,317.6
2020,Hambantota,Yala,11,1,28.9,78.5,88,57.48
2020,Mannar,Yala,5,4,29.45,76,85,33.8
2020,Jaffna,Yala,24,1,30.18,73.25,,48.58
2020,Kururnegala,Yala,736,43,28.53,71.25,85,153.63
2020,Anuradhapura,Yala,13359,932,29.1,70,89.25,106.98
2020,Polonnaruwa,Yala,2225,151,30.13,61,,91.78
2020,Trincomalee,Yala,5,,30.33,62.75,80.67,31.6
2020,Ratnapura,Yala,3,,27.88,80,94,377.8
2020,Vavuniya,Yala,107,8,29.53,75,,121.13
2021,Jaffna,Maha,147.1,15,26.88,80.75,,388.35
2021,Nuwara Eliya,Maha,10.8,1,15.95,81.5,91.75,128.18
2021,Mannar,Maha,13.8,1,27.53,80.5,87.5,188
2021,Kururnegala,Maha,147.2,10,28.25,74.25,92,170.78
2021,Anuradhapura,Maha,164.8,12,27.18,76.25,93.5,187.1
2021,Ratnapura,Maha,2.5,,27.6,78,92,260.85
2021,Puttalam,Maha,3788.4,307,27.48,78.25,89,157.2
2021,Hambantota,Yala,9,2,28.78,76.75,88,77.93
2021,Vavuniya,Yala,83,6,29.48,70.5,,62.93
2021,Mannar,Yala,22,2,29.28,77.5,85.25,31.3
2021,Jaffna,Yala,68,5,29.95,73.75,,52.78
2021,Kururnegala,Yala,607,26,28.15,74.25,87.75,216.85
2021,Anuradhapura,Yala,3,1620,29.03,68.5,89,67.98
2021,Polonnaruwa,Yala,27506,115,30.38,59.5,,40.65
2021,Badulla,Yala,1701,,25.55,71,,148.03
2021,Moneragala,Yala,11,,27.9,68.5,,118.08
